rn:R00533	cpd:C00001
rn:R00534	cpd:C00001
rn:R00538	cpd:C00001
rn:R00539	cpd:C00001
rn:R00540	cpd:C00001
rn:R00542	cpd:C00001
rn:R00543	cpd:C00001
rn:R00544	cpd:C00001
rn:R00545	cpd:C00001
rn:R00546	cpd:C00001
rn:R00547	cpd:C00001
rn:R00548	cpd:C00001
rn:R00551	cpd:C00001
rn:R00552	cpd:C00001
rn:R00557	cpd:C00001
rn:R00558	cpd:C00001
rn:R00559	cpd:C00001
rn:R00562	cpd:C00001
rn:R00563	cpd:C00001
rn:R00569	cpd:C00001
rn:R00573	cpd:C00001
rn:R00575	cpd:C00001
rn:R00578	cpd:C00001
rn:R00581	cpd:C00001
rn:R00582	cpd:C00001
rn:R00590	cpd:C00001
rn:R00602	cpd:C00001
rn:R00603	cpd:C00001
rn:R00604	cpd:C00001
rn:R00606	cpd:C00001
rn:R00609	cpd:C00001
rn:R00610	cpd:C00001
rn:R00612	cpd:C00001
rn:R00614	cpd:C00001
rn:R00615	cpd:C00001
rn:R00618	cpd:C00001
rn:R00626	cpd:C00001
rn:R00628	cpd:C00001
rn:R00630	cpd:C00001
rn:R00631	cpd:C00001
rn:R00634	cpd:C00001
rn:R00635	cpd:C00001
rn:R00638	cpd:C00001
rn:R00644	cpd:C00001
rn:R00646	cpd:C00001
rn:R00648	cpd:C00001
rn:R00653	cpd:C00001
rn:R00654	cpd:C00001
rn:R00657	cpd:C00001
rn:R00658	cpd:C00001
rn:R00662	cpd:C00001
rn:R00665	cpd:C00001
rn:R00666	cpd:C00001
rn:R00668	cpd:C00001
rn:R00669	cpd:C00001
rn:R00673	cpd:C00001
rn:R00674	cpd:C00001
rn:R00675	cpd:C00001
rn:R00676	cpd:C00001
rn:R00677	cpd:C00001
rn:R00679	cpd:C00001
rn:R00682	cpd:C00001
rn:R00686	cpd:C00001
rn:R00688	cpd:C00001
rn:R00689	cpd:C00001
rn:R00690	cpd:C00001
rn:R00691	cpd:C00001
rn:R00707	cpd:C00001
rn:R00708	cpd:C00001
rn:R00710	cpd:C00001
rn:R00711	cpd:C00001
rn:R00713	cpd:C00001
rn:R00714	cpd:C00001
rn:R00715	cpd:C00001
rn:R00716	cpd:C00001
rn:R00719	cpd:C00001
rn:R00720	cpd:C00001
rn:R00723	cpd:C00001
rn:R00728	cpd:C00001
rn:R00729	cpd:C00001
rn:R00730	cpd:C00001
rn:R00731	cpd:C00001
rn:R00744	cpd:C00001
rn:R00747	cpd:C00001
rn:R00748	cpd:C00001
rn:R00761	cpd:C00001
rn:R00762	cpd:C00001
rn:R00763	cpd:C00001
rn:R00765	cpd:C00001
rn:R00775	cpd:C00001
rn:R00777	cpd:C00001
rn:R00778	cpd:C00001
rn:R00782	cpd:C00001
rn:R00783	cpd:C00001
rn:R00784	cpd:C00001
rn:R00785	cpd:C00001
rn:R00787	cpd:C00001
rn:R00789	cpd:C00001
rn:R00790	cpd:C00001
rn:R00791	cpd:C00001
rn:R00792	cpd:C00001
rn:R00793	cpd:C00001
rn:R00794	cpd:C00001
rn:R00796	cpd:C00001
rn:R00798	cpd:C00001
rn:R00799	cpd:C00001
rn:R00801	cpd:C00001
rn:R00802	cpd:C00001
rn:R00804	cpd:C00001
rn:R00805	cpd:C00001
rn:R00815	cpd:C00001
