"cpd","compoundclass","ko","referenceAG","compoundname","genesymbol","genename","enzyme_activity"
"C00038","Metal","K00001","EPA","Zinc cation","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00038","Metal","K00001","ATSDR","Zinc cation","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001","ATSDR","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001","WFD","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001","EPC","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001","EPA","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001","IARC2A","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06747","Sulfur-containing","K00001","PSL","Phenylmethanesulfonyl fluoride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06747","Aromatic","K00001","PSL","Phenylmethanesulfonyl fluoride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C11344","Aliphatic","K00001","PSL","Methyl tert-butyl ether","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C13377","Metal","K00001","ATSDR","Mercuric chloride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C13377","Metal","K00001","WFD","Mercuric chloride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C13377","Chlorinated","K00001","ATSDR","Mercuric chloride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C13377","Chlorinated","K00001","WFD","Mercuric chloride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C14440","Aliphatic","K00001","ATSDR","1,4-Dioxane","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C14440","Aliphatic","K00001","IARC2B","1,4-Dioxane","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C14687","Aliphatic","K00001","PSL","2-Ethoxyethanol","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C19263","Aliphatic","K00001","IARC2B","Methyl isobutyl ketone","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C19302","Nitrogen-containing","K00001","IARC2B","Thioacetamide","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C19302","Sulfur-containing","K00001","IARC2B","Thioacetamide","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C19302","Aliphatic","K00001","IARC2B","Thioacetamide","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00038","Metal","K00002","ATSDR","Zinc cation","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00038","Metal","K00002","EPA","Zinc cation","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C07434","Aromatic","K00002","IARC2B","Phenobarbital","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C07434","Nitrogen-containing","K00002","IARC2B","Phenobarbital","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C07443","Polyaromatic","K00002","IARC2B","Phenytoin","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C07443","Nitrogen-containing","K00002","IARC2B","Phenytoin","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C08142","Inorganic","K00002","PSL","Sodium fluoride","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C19249","Aliphatic","K00002","IARC2B","2,4-Hexadienal","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00038","Metal","K00004","ATSDR","Zinc cation","BDH","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase","dehydrogenase"
"C00038","Metal","K00004","EPA","Zinc cation","BDH","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase","dehydrogenase"
"C00038","Metal","K00005","ATSDR","Zinc cation","gldA","glycerol dehydrogenase","dehydrogenase"
"C00038","Metal","K00005","EPA","Zinc cation","gldA","glycerol dehydrogenase","dehydrogenase"
"C13377","Metal","K00005","ATSDR","Mercuric chloride","gldA","glycerol dehydrogenase","dehydrogenase"
"C13377","Metal","K00005","WFD","Mercuric chloride","gldA","glycerol dehydrogenase","dehydrogenase"
"C13377","Chlorinated","K00005","ATSDR","Mercuric chloride","gldA","glycerol dehydrogenase","dehydrogenase"
"C13377","Chlorinated","K00005","WFD","Mercuric chloride","gldA","glycerol dehydrogenase","dehydrogenase"
"C14399","Chlorinated","K00005","IARC2B","1,3-Dichloro-2-propanol","gldA","glycerol dehydrogenase","dehydrogenase"
"C14399","Aliphatic","K00005","IARC2B","1,3-Dichloro-2-propanol","gldA","glycerol dehydrogenase","dehydrogenase"
"C14440","Aliphatic","K00005","ATSDR","1,4-Dioxane","gldA","glycerol dehydrogenase","dehydrogenase"
"C14440","Aliphatic","K00005","IARC2B","1,4-Dioxane","gldA","glycerol dehydrogenase","dehydrogenase"
"C18676","Chlorinated","K00005","IARC2B","alpha-Chlorohydrin","gldA","glycerol dehydrogenase","dehydrogenase"
"C18676","Aliphatic","K00005","IARC2B","alpha-Chlorohydrin","gldA","glycerol dehydrogenase","dehydrogenase"
"C00038","Metal","K00006","EPA","Zinc cation","GPD1","glycerol-3-phosphate dehydrogenase (NAD+)","dehydrogenase"
"C00038","Metal","K00006","ATSDR","Zinc cation","GPD1","glycerol-3-phosphate dehydrogenase (NAD+)","dehydrogenase"
"C00038","Metal","K00007","ATSDR","Zinc cation","dalD","D-arabinitol 4-dehydrogenase","dehydrogenase"
"C00038","Metal","K00007","EPA","Zinc cation","dalD","D-arabinitol 4-dehydrogenase","dehydrogenase"
"C00038","Metal","K00008","ATSDR","Zinc cation","SORD","L-iditol 2-dehydrogenase","dehydrogenase"
"C00038","Metal","K00008","EPA","Zinc cation","SORD","L-iditol 2-dehydrogenase","dehydrogenase"
"C13377","Metal","K00008","WFD","Mercuric chloride","SORD","L-iditol 2-dehydrogenase","dehydrogenase"
"C13377","Metal","K00008","ATSDR","Mercuric chloride","SORD","L-iditol 2-dehydrogenase","dehydrogenase"
"C13377","Chlorinated","K00008","WFD","Mercuric chloride","SORD","L-iditol 2-dehydrogenase","dehydrogenase"
"C13377","Chlorinated","K00008","ATSDR","Mercuric chloride","SORD","L-iditol 2-dehydrogenase","dehydrogenase"
"C00038","Metal","K00009","EPA","Zinc cation","mtlD","mannitol-1-phosphate 5-dehydrogenase","dehydrogenase"
"C00038","Metal","K00009","ATSDR","Zinc cation","mtlD","mannitol-1-phosphate 5-dehydrogenase","dehydrogenase"
"C07443","Polyaromatic","K00011","IARC2B","Phenytoin","AKR1B","aldehyde reductase","reductase"
"C07443","Nitrogen-containing","K00011","IARC2B","Phenytoin","AKR1B","aldehyde reductase","reductase"
"C07675","Aromatic","K00011","IARC2A","Pioglitazone","AKR1B","aldehyde reductase","reductase"
"C07675","Sulfur-containing","K00011","IARC2A","Pioglitazone","AKR1B","aldehyde reductase","reductase"
"C07675","Nitrogen-containing","K00011","IARC2A","Pioglitazone","AKR1B","aldehyde reductase","reductase"
"C07308","Inorganic","K00019","IARC2B","Cacodylate","BDH1","3-hydroxybutyrate dehydrogenase","dehydrogenase"
"C07308","Inorganic","K00019","ATSDR","Cacodylate","BDH1","3-hydroxybutyrate dehydrogenase","dehydrogenase"
"C07308","Metal","K00019","IARC2B","Cacodylate","BDH1","3-hydroxybutyrate dehydrogenase","dehydrogenase"
"C07308","Metal","K00019","ATSDR","Cacodylate","BDH1","3-hydroxybutyrate dehydrogenase","dehydrogenase"
"C06747","Sulfur-containing","K00024","PSL","Phenylmethanesulfonyl fluoride","mdh","malate dehydrogenase","dehydrogenase"
"C06747","Aromatic","K00024","PSL","Phenylmethanesulfonyl fluoride","mdh","malate dehydrogenase","dehydrogenase"
"C08142","Inorganic","K00024","PSL","Sodium fluoride","mdh","malate dehydrogenase","dehydrogenase"
"C06747","Sulfur-containing","K00025","PSL","Phenylmethanesulfonyl fluoride","MDH1","malate dehydrogenase","dehydrogenase"
"C06747","Aromatic","K00025","PSL","Phenylmethanesulfonyl fluoride","MDH1","malate dehydrogenase","dehydrogenase"
"C08142","Inorganic","K00025","PSL","Sodium fluoride","MDH1","malate dehydrogenase","dehydrogenase"
"C06747","Sulfur-containing","K00026","PSL","Phenylmethanesulfonyl fluoride","MDH2","malate dehydrogenase","dehydrogenase"
"C06747","Aromatic","K00026","PSL","Phenylmethanesulfonyl fluoride","MDH2","malate dehydrogenase","dehydrogenase"
"C08142","Inorganic","K00026","PSL","Sodium fluoride","MDH2","malate dehydrogenase","dehydrogenase"
"C19300","Nitrogen-containing","K00033","IARC2B","Tetranitromethane","PGD","6-phosphogluconate dehydrogenase","dehydrogenase"
"C19300","Inorganic","K00033","IARC2B","Tetranitromethane","PGD","6-phosphogluconate dehydrogenase","dehydrogenase"
"C10984","Polyaromatic","K00036","EPC","Cypermethrin","G6PD","glucose-6-phosphate 1-dehydrogenase","dehydrogenase"
"C10984","Chlorinated","K00036","EPC","Cypermethrin","G6PD","glucose-6-phosphate 1-dehydrogenase","dehydrogenase"
"C10984","Nitrogen-containing","K00036","EPC","Cypermethrin","G6PD","glucose-6-phosphate 1-dehydrogenase","dehydrogenase"
"C18428","Nitrogen-containing","K00036","EPC","Diuron","G6PD","glucose-6-phosphate 1-dehydrogenase","dehydrogenase"
"C18428","Nitrogen-containing","K00036","WFD","Diuron","G6PD","glucose-6-phosphate 1-dehydrogenase","dehydrogenase"
"C18428","Nitrogen-containing","K00036","ATSDR","Diuron","G6PD","glucose-6-phosphate 1-dehydrogenase","dehydrogenase"
"C18428","Chlorinated","K00036","EPC","Diuron","G6PD","glucose-6-phosphate 1-dehydrogenase","dehydrogenase"
"C18428","Chlorinated","K00036","WFD","Diuron","G6PD","glucose-6-phosphate 1-dehydrogenase","dehydrogenase"
"C18428","Chlorinated","K00036","ATSDR","Diuron","G6PD","glucose-6-phosphate 1-dehydrogenase","dehydrogenase"
"C18428","Aromatic","K00036","EPC","Diuron","G6PD","glucose-6-phosphate 1-dehydrogenase","dehydrogenase"
"C18428","Aromatic","K00036","WFD","Diuron","G6PD","glucose-6-phosphate 1-dehydrogenase","dehydrogenase"
"C18428","Aromatic","K00036","ATSDR","Diuron","G6PD","glucose-6-phosphate 1-dehydrogenase","dehydrogenase"
"C11043","Chlorinated","K00037","ATSDR","Methoxychlor","AKR1C4","3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase","dehydrogenase"
"C11043","Polyaromatic","K00037","ATSDR","Methoxychlor","AKR1C4","3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase","dehydrogenase"
"C14286","Polyaromatic","K00037","IARC2B","Phenolphthalein","AKR1C4","3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase","dehydrogenase"
"C14512","Aromatic","K00064","IARC2B","Benzofuran","E1.1.1.122","D-threo-aldose 1-dehydrogenase","dehydrogenase"
"C07316","Nitrogen-containing","K00069","IARC2B","Sulfasalazine","HPGD","15-hydroxyprostaglandin dehydrogenase (NAD)","dehydrogenase"
"C07316","Sulfur-containing","K00069","IARC2B","Sulfasalazine","HPGD","15-hydroxyprostaglandin dehydrogenase (NAD)","dehydrogenase"
"C07316","Polyaromatic","K00069","IARC2B","Sulfasalazine","HPGD","15-hydroxyprostaglandin dehydrogenase (NAD)","dehydrogenase"
"C07675","Aromatic","K00069","IARC2A","Pioglitazone","HPGD","15-hydroxyprostaglandin dehydrogenase (NAD)","dehydrogenase"
"C07675","Sulfur-containing","K00069","IARC2A","Pioglitazone","HPGD","15-hydroxyprostaglandin dehydrogenase (NAD)","dehydrogenase"
"C07675","Nitrogen-containing","K00069","IARC2A","Pioglitazone","HPGD","15-hydroxyprostaglandin dehydrogenase (NAD)","dehydrogenase"
"C19300","Nitrogen-containing","K00069","IARC2B","Tetranitromethane","HPGD","15-hydroxyprostaglandin dehydrogenase (NAD)","dehydrogenase"
"C19300","Inorganic","K00069","IARC2B","Tetranitromethane","HPGD","15-hydroxyprostaglandin dehydrogenase (NAD)","dehydrogenase"
"C11043","Chlorinated","K00070","ATSDR","Methoxychlor","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C11043","Polyaromatic","K00070","ATSDR","Methoxychlor","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C14214","Aromatic","K00070","PSL","Dibutyl phthalate","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C14214","Aromatic","K00070","ATSDR","Dibutyl phthalate","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C14214","Aromatic","K00070","EPA","Dibutyl phthalate","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C14214","Aromatic","K00070","CONAMA","Dibutyl phthalate","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C14227","Aromatic","K00070","PSL","Di-n-octyl phthalate","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C14227","Aromatic","K00070","EPA","Di-n-octyl phthalate","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C14550","Aromatic","K00070","PSL","4-Nonylphenol","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C14550","Aromatic","K00070","WFD","4-Nonylphenol","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C14550","Aromatic","K00070","EPC","4-Nonylphenol","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C15233","Metal","K00070","EPC","Cadmium chloride","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C15233","Metal","K00070","PSL","Cadmium chloride","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C15233","Metal","K00070","WFD","Cadmium chloride","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C15233","Inorganic","K00070","EPC","Cadmium chloride","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C15233","Inorganic","K00070","PSL","Cadmium chloride","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C15233","Inorganic","K00070","WFD","Cadmium chloride","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C15233","Chlorinated","K00070","EPC","Cadmium chloride","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C15233","Chlorinated","K00070","PSL","Cadmium chloride","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C15233","Chlorinated","K00070","WFD","Cadmium chloride","HSD3B","3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase","dehydrogenase"
"C19256","Nitrogen-containing","K00078","IARC2B","Merphalan","DHDH","dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)","dehydrogenase"
"C19256","Chlorinated","K00078","IARC2B","Merphalan","DHDH","dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)","dehydrogenase"
"C19256","Aromatic","K00078","IARC2B","Merphalan","DHDH","dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)","dehydrogenase"
"C07443","Polyaromatic","K00079","IARC2B","Phenytoin","CBR1","carbonyl reductase 1","reductase"
"C07443","Nitrogen-containing","K00079","IARC2B","Phenytoin","CBR1","carbonyl reductase 1","reductase"
"C11195","Nitrogen-containing","K00079","IARC2B","Mitoxantrone","CBR1","carbonyl reductase 1","reductase"
"C11195","Polyaromatic","K00079","IARC2B","Mitoxantrone","CBR1","carbonyl reductase 1","reductase"
"C07443","Polyaromatic","K00081","IARC2B","Phenytoin","CBR2","carbonyl reductase 2","reductase"
"C07443","Nitrogen-containing","K00081","IARC2B","Phenytoin","CBR2","carbonyl reductase 2","reductase"
"C11195","Nitrogen-containing","K00081","IARC2B","Mitoxantrone","CBR2","carbonyl reductase 2","reductase"
"C11195","Polyaromatic","K00081","IARC2B","Mitoxantrone","CBR2","carbonyl reductase 2","reductase"
"C07443","Polyaromatic","K00084","IARC2B","Phenytoin","CBR3","carbonyl reductase 3","reductase"
"C07443","Nitrogen-containing","K00084","IARC2B","Phenytoin","CBR3","carbonyl reductase 3","reductase"
"C11195","Nitrogen-containing","K00084","IARC2B","Mitoxantrone","CBR3","carbonyl reductase 3","reductase"
"C11195","Polyaromatic","K00084","IARC2B","Mitoxantrone","CBR3","carbonyl reductase 3","reductase"
"C07308","Inorganic","K00089","ATSDR","Cacodylate","AKR1C2","3alpha-hydroxysteroid 3-dehydrogenase","dehydrogenase"
"C07308","Inorganic","K00089","IARC2B","Cacodylate","AKR1C2","3alpha-hydroxysteroid 3-dehydrogenase","dehydrogenase"
"C07308","Metal","K00089","ATSDR","Cacodylate","AKR1C2","3alpha-hydroxysteroid 3-dehydrogenase","dehydrogenase"
"C07308","Metal","K00089","IARC2B","Cacodylate","AKR1C2","3alpha-hydroxysteroid 3-dehydrogenase","dehydrogenase"
"C07620","Polyaromatic","K00089","IARC1","Diethylstilbestrol","AKR1C2","3alpha-hydroxysteroid 3-dehydrogenase","dehydrogenase"
"C11043","Chlorinated","K00089","ATSDR","Methoxychlor","AKR1C2","3alpha-hydroxysteroid 3-dehydrogenase","dehydrogenase"
"C11043","Polyaromatic","K00089","ATSDR","Methoxychlor","AKR1C2","3alpha-hydroxysteroid 3-dehydrogenase","dehydrogenase"
"C19396","Nitrogen-containing","K00106","IARC2B","Dibromoacetonitrile","XDH","xanthine dehydrogenase/oxidase","dehydrogenase"
"C19396","Halogenated","K00106","IARC2B","Dibromoacetonitrile","XDH","xanthine dehydrogenase/oxidase","dehydrogenase"
"C13884","Metal","K00114","ATSDR","Strontium cation","exaA","alcohol dehydrogenase (cytochrome c)","dehydrogenase"
"C11906","Inorganic","K00128","ATSDR","Sodium arsenite","ALDH","aldehyde dehydrogenase (NAD+)","dehydrogenase"
"C11906","Metal","K00128","ATSDR","Sodium arsenite","ALDH","aldehyde dehydrogenase (NAD+)","dehydrogenase"
"C13884","Metal","K00128","ATSDR","Strontium cation","ALDH","aldehyde dehydrogenase (NAD+)","dehydrogenase"
"C07115","Chlorinated","K00130","IARC2A","Nitrogen mustard","betB","betaine-aldehyde dehydrogenase","dehydrogenase"
"C07115","Nitrogen-containing","K00130","IARC2A","Nitrogen mustard","betB","betaine-aldehyde dehydrogenase","dehydrogenase"
"C07308","Inorganic","K00133","IARC2B","Cacodylate","asd","aspartate-semialdehyde dehydrogenase","dehydrogenase"
"C07308","Inorganic","K00133","ATSDR","Cacodylate","asd","aspartate-semialdehyde dehydrogenase","dehydrogenase"
"C07308","Metal","K00133","IARC2B","Cacodylate","asd","aspartate-semialdehyde dehydrogenase","dehydrogenase"
"C07308","Metal","K00133","ATSDR","Cacodylate","asd","aspartate-semialdehyde dehydrogenase","dehydrogenase"
"C18676","Chlorinated","K00134","IARC2B","alpha-Chlorohydrin","GAPDH","glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)","dehydrogenase"
"C18676","Aliphatic","K00134","IARC2B","alpha-Chlorohydrin","GAPDH","glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)","dehydrogenase"
"C11906","Inorganic","K00149","ATSDR","Sodium arsenite","ALDH9A1","aldehyde dehydrogenase family 9 member A1","dehydrogenase"
"C11906","Metal","K00149","ATSDR","Sodium arsenite","ALDH9A1","aldehyde dehydrogenase family 9 member A1","dehydrogenase"
"C01553","Polyaromatic","K00157","IARC2B","Amsacrine","AOX","aldehyde oxidase","oxidase"
"C01553","Nitrogen-containing","K00157","IARC2B","Amsacrine","AOX","aldehyde oxidase","oxidase"
"C01553","Sulfur-containing","K00157","IARC2B","Amsacrine","AOX","aldehyde oxidase","oxidase"
"C07557","Chlorinated","K00157","ATSDR","2,3,7,8-Tetrachlorodibenzodioxin","AOX","aldehyde oxidase","oxidase"
"C07557","Chlorinated","K00157","WFD","2,3,7,8-Tetrachlorodibenzodioxin","AOX","aldehyde oxidase","oxidase"
"C07557","Chlorinated","K00157","EPA","2,3,7,8-Tetrachlorodibenzodioxin","AOX","aldehyde oxidase","oxidase"
"C07557","Chlorinated","K00157","PSL","2,3,7,8-Tetrachlorodibenzodioxin","AOX","aldehyde oxidase","oxidase"
"C07557","Chlorinated","K00157","EPC","2,3,7,8-Tetrachlorodibenzodioxin","AOX","aldehyde oxidase","oxidase"
"C07557","Polyaromatic","K00157","ATSDR","2,3,7,8-Tetrachlorodibenzodioxin","AOX","aldehyde oxidase","oxidase"
"C07557","Polyaromatic","K00157","WFD","2,3,7,8-Tetrachlorodibenzodioxin","AOX","aldehyde oxidase","oxidase"
"C07557","Polyaromatic","K00157","EPA","2,3,7,8-Tetrachlorodibenzodioxin","AOX","aldehyde oxidase","oxidase"
"C07557","Polyaromatic","K00157","PSL","2,3,7,8-Tetrachlorodibenzodioxin","AOX","aldehyde oxidase","oxidase"
"C07557","Polyaromatic","K00157","EPC","2,3,7,8-Tetrachlorodibenzodioxin","AOX","aldehyde oxidase","oxidase"
"C14421","Polyaromatic","K00157","IARC2A","1-Nitropyrene","AOX","aldehyde oxidase","oxidase"
"C14421","Nitrogen-containing","K00157","IARC2A","1-Nitropyrene","AOX","aldehyde oxidase","oxidase"
"C14592","Nitrogen-containing","K00157","IARC2A","N-Methyl-N'-nitro-N-nitrosoguanidine","AOX","aldehyde oxidase","oxidase"
"C14592","Inorganic","K00157","IARC2A","N-Methyl-N'-nitro-N-nitrosoguanidine","AOX","aldehyde oxidase","oxidase"
"C14595","Nitrogen-containing","K00157","IARC2A","Methylnitrosourea","AOX","aldehyde oxidase","oxidase"
"C14595","Aliphatic","K00157","IARC2A","Methylnitrosourea","AOX","aldehyde oxidase","oxidase"
"C11043","Chlorinated","K00212","ATSDR","Methoxychlor","AKR1C1","20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase","dehydrogenase"
"C11043","Polyaromatic","K00212","ATSDR","Methoxychlor","AKR1C1","20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase","dehydrogenase"
"C14512","Aromatic","K00212","IARC2B","Benzofuran","AKR1C1","20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase","dehydrogenase"
"C19256","Nitrogen-containing","K00212","IARC2B","Merphalan","AKR1C1","20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase","dehydrogenase"
"C19256","Chlorinated","K00212","IARC2B","Merphalan","AKR1C1","20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase","dehydrogenase"
"C19256","Aromatic","K00212","IARC2B","Merphalan","AKR1C1","20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase","dehydrogenase"
"C14704","Nitrogen-containing","K00213","IARC2A","N-Nitrosodimethylamine","DHCR7","7-dehydrocholesterol reductase","reductase"
"C14704","Nitrogen-containing","K00213","ATSDR","N-Nitrosodimethylamine","DHCR7","7-dehydrocholesterol reductase","reductase"
"C14704","Nitrogen-containing","K00213","EPA","N-Nitrosodimethylamine","DHCR7","7-dehydrocholesterol reductase","reductase"
"C14704","Nitrogen-containing","K00213","PSL","N-Nitrosodimethylamine","DHCR7","7-dehydrocholesterol reductase","reductase"
"C14704","Aliphatic","K00213","IARC2A","N-Nitrosodimethylamine","DHCR7","7-dehydrocholesterol reductase","reductase"
"C14704","Aliphatic","K00213","ATSDR","N-Nitrosodimethylamine","DHCR7","7-dehydrocholesterol reductase","reductase"
"C14704","Aliphatic","K00213","EPA","N-Nitrosodimethylamine","DHCR7","7-dehydrocholesterol reductase","reductase"
"C14704","Aliphatic","K00213","PSL","N-Nitrosodimethylamine","DHCR7","7-dehydrocholesterol reductase","reductase"
"C11146","Organometallic","K00221","WFD","Methylmercury chloride","E4.99.1.2","alkylmercury lyase","lyase"
"C11146","Organometallic","K00221","EPC","Methylmercury chloride","E4.99.1.2","alkylmercury lyase","lyase"
"C11146","Organometallic","K00221","IARC2B","Methylmercury chloride","E4.99.1.2","alkylmercury lyase","lyase"
"C11146","Chlorinated","K00221","WFD","Methylmercury chloride","E4.99.1.2","alkylmercury lyase","lyase"
"C11146","Chlorinated","K00221","EPC","Methylmercury chloride","E4.99.1.2","alkylmercury lyase","lyase"
"C11146","Chlorinated","K00221","IARC2B","Methylmercury chloride","E4.99.1.2","alkylmercury lyase","lyase"
"C11065","Chlorinated","K00231","IARC2B","Nitrofen","PPOX","protoporphyrinogen/coproporphyrinogen III oxidase","oxidase"
"C11065","Polyaromatic","K00231","IARC2B","Nitrofen","PPOX","protoporphyrinogen/coproporphyrinogen III oxidase","oxidase"
"C11065","Nitrogen-containing","K00231","IARC2B","Nitrofen","PPOX","protoporphyrinogen/coproporphyrinogen III oxidase","oxidase"
"C18142","Sulfur-containing","K00232","WFD","Perfluorooctanesulfonic acid","E1.3.3.6","acyl-CoA oxidase","oxidase"
"C18142","Sulfur-containing","K00232","ATSDR","Perfluorooctanesulfonic acid","E1.3.3.6","acyl-CoA oxidase","oxidase"
"C18142","Sulfur-containing","K00232","EPC","Perfluorooctanesulfonic acid","E1.3.3.6","acyl-CoA oxidase","oxidase"
"C18142","Halogenated","K00232","WFD","Perfluorooctanesulfonic acid","E1.3.3.6","acyl-CoA oxidase","oxidase"
"C18142","Halogenated","K00232","ATSDR","Perfluorooctanesulfonic acid","E1.3.3.6","acyl-CoA oxidase","oxidase"
"C18142","Halogenated","K00232","EPC","Perfluorooctanesulfonic acid","E1.3.3.6","acyl-CoA oxidase","oxidase"
"C11146","Organometallic","K00248","IARC2B","Methylmercury chloride","ACADS","butyryl-CoA dehydrogenase","dehydrogenase"
"C11146","Organometallic","K00248","EPC","Methylmercury chloride","ACADS","butyryl-CoA dehydrogenase","dehydrogenase"
"C11146","Organometallic","K00248","WFD","Methylmercury chloride","ACADS","butyryl-CoA dehydrogenase","dehydrogenase"
"C11146","Chlorinated","K00248","IARC2B","Methylmercury chloride","ACADS","butyryl-CoA dehydrogenase","dehydrogenase"
"C11146","Chlorinated","K00248","EPC","Methylmercury chloride","ACADS","butyryl-CoA dehydrogenase","dehydrogenase"
"C11146","Chlorinated","K00248","WFD","Methylmercury chloride","ACADS","butyryl-CoA dehydrogenase","dehydrogenase"
"C11146","Organometallic","K00249","IARC2B","Methylmercury chloride","ACADM","acyl-CoA dehydrogenase","dehydrogenase"
"C11146","Organometallic","K00249","EPC","Methylmercury chloride","ACADM","acyl-CoA dehydrogenase","dehydrogenase"
"C11146","Organometallic","K00249","WFD","Methylmercury chloride","ACADM","acyl-CoA dehydrogenase","dehydrogenase"
"C11146","Chlorinated","K00249","IARC2B","Methylmercury chloride","ACADM","acyl-CoA dehydrogenase","dehydrogenase"
"C11146","Chlorinated","K00249","EPC","Methylmercury chloride","ACADM","acyl-CoA dehydrogenase","dehydrogenase"
"C11146","Chlorinated","K00249","WFD","Methylmercury chloride","ACADM","acyl-CoA dehydrogenase","dehydrogenase"
"C19238","Aliphatic","K00251","IARC2B","Ethyl acrylate","AKR1D1","3-oxo-5-beta-steroid 4-dehydrogenase","dehydrogenase"
